No,CAS_Number,VE2_Dzp,SlogP_VSA7,B02[N-O],F02[N-S],GATS2Z,H-051,B04[O-Cl],B07[Cl-Cl],VSA_EState7,B08[C-O],NaaO,GATS1i,B09[C-S],F09[C-N],B07[C-C],pLC50_fw,Series
1,50-02-2,0.185262317,0,0,0,0.741464531,0,0,0,4.439214382,1,0,1.018231529,0,0,1,0.910612455,T
2,50-06-6,0.238602468,0,1,0,0.670237855,0,0,0,0.293611111,1,0,1.235147876,0,0,1,-1.348321507,T
4,50-24-8,0.192324945,0,0,0,0.813514743,0,0,0,7.682001818,1,0,1.087076772,0,0,1,1.208674714,T
5,50-48-6,0.213004319,0,0,0,1.03000036,0,0,0,5.782145849,0,0,1.181073003,0,0,1,2.537587442,T
6,50-54-4,0.199834482,0,0,0,0.99436613,0,0,0,5.62037476,1,0,1.305544971,0,1,1,1.935530963,T
7,50-63-5,0.209679892,5.022633314,0,0,0.778957707,0,0,0,4.210528899,0,0,1.514350122,0,2,1,2.070608098,T
8,50-78-2,0.271584113,0,0,0,0.60542426,3,0,0,0,0,0,1.112645248,0,0,0,0.105130102,T
10,52-68-6,0.279531062,0,0,0,0.553782096,0,1,0,0,0,0,2.077500947,0,0,0,0.695157211,T
11,54-11-5,0.284319541,0,0,0,1.088352744,0,0,0,6.405944822,0,0,1.559720095,0,0,0,-0.130346083,T
13,55-48-1,0.215801064,0,0,0,1.007249437,1,0,0,4.259639449,1,0,1.367867789,0,2,1,0.317840486,T
14,56-23-5,0.439908772,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,-1.576406292,T
15,56-75-7,0.218285413,0,1,0,0.776821517,0,0,0,-1.252928319,1,0,1.194987003,0,1,1,-0.807538657,T
16,57-41-0,0.225927865,0,1,0,0.785985792,0,0,0,0,0,0,1.039446588,0,0,1,-1.59769949,T
17,57-55-6,0.440225431,0,0,0,1.063636364,0,0,0,-0.560185185,0,0,1.734753579,0,0,0,0.778948749,T
18,58-08-2,0.261807854,0,1,0,0.578866202,0,0,0,1.519351852,0,0,2.225955503,0,0,0,-1.380217951,T
20,58-55-9,0.272323733,0,1,0,0.579488473,0,0,0,1.394351852,0,0,2.090738101,0,0,0,-1.338471198,T
22,58-90-2,0.294553833,20.09053325,0,0,0.757218599,0,1,0,0,0,0,0.783215649,0,0,0,1.650133391,T
23,60-13-9,0.310744512,0,0,0,1.073569092,0,0,0,0.973055556,0,0,1.06847405,0,0,0,2.074703877,T
26,63-25-2,0.252661244,0,1,0,0.80162086,0,0,0,-0.452450869,0,0,1.133043685,0,0,1,1.690887288,T
27,64-17-5,0.574637064,0,0,0,1.15921288,0,0,0,0,0,0,1.929307462,0,0,0,-2.80887644,T
29,67-63-0,0.494434192,0,0,0,0.975676242,0,0,0,-0.166666667,0,0,1.778171464,0,0,0,-2.677577324,T
30,67-64-1,0.493733796,0,0,0,0.626984127,6,0,0,0,0,0,1.666633262,0,0,0,0.055605708,T
33,70-30-4,0.214808131,30.13579988,0,0,0.615455117,0,1,1,-0.045740741,0,0,0.773797958,0,0,1,9.508630408,T
34,71-43-2,0.40824829,0,0,0,1.222222222,0,0,0,0,0,0,0.916666667,0,0,0,-1.107293362,T
35,71-55-6,0.440126122,0,0,0,0.321383648,0,0,0,0,0,0,1.867044781,0,0,0,-1.682160703,T
36,75-09-2,0.568829623,0,0,0,1.296859169,0,0,0,0,0,0,2.283211822,0,0,0,-1.376591786,T
38,79-57-2,0.170840014,0,1,0,0.60878404,0,0,0,-1.87196712,1,0,1.072751275,0,4,1,1.128982241,T
39,81-81-2,0.205307232,0,0,0,0.747198689,5,0,0,0.125668226,1,0,0.952009929,0,0,1,-0.158409821,T
40,85-68-7,0.204593836,0,0,0,0.929162367,0,0,0,1.736512543,1,0,1.171400854,0,0,1,1.796881009,T
41,86-50-0,0.22480098,0,1,1,0.783634445,0,0,0,0,1,0,1.076770421,1,0,1,1.767108933,T
43,94-75-7,0.272479509,10.04526663,0,0,0.635616303,0,0,0,0,0,0,1.108540615,0,0,0,0.178467216,T
44,95-76-1,0.326453616,10.04526663,0,0,0.577441077,0,0,0,0,0,0,0.815546743,0,0,0,0.420666706,T
45,96-31-1,0.400631717,0,1,0,0.867758186,0,0,0,0,0,0,2.549069269,0,0,0,-1.339856513,T
46,97-00-7,0.267575139,5.022633314,0,0,0.608028335,0,1,0,0,0,0,0.831831478,0,0,0,2.192588895,T
47,99-35-4,0.249053197,0,0,0,0.555555556,0,0,0,0,0,0,0.88544302,0,0,0,2.182455414,T
48,100-02-7,0.30588951,0,0,0,0.664245548,0,0,0,0,0,0,0.831438622,0,0,0,0.842328355,T
49,100-42-5,0.349765981,0,0,0,1.09375,0,0,0,1.833333333,0,0,0.9375,0,0,0,-0.159561694,T
50,101-21-3,0.263293638,5.022633314,1,0,0.615672768,0,0,0,-0.600508472,0,0,1.380689073,0,0,1,0.783303957,T
51,103-90-2,0.295134639,0,1,0,0.728320067,3,0,0,0,0,0,1.178692274,0,0,0,-1.545321482,T
52,105-67-9,0.325083631,0,0,0,0.728339004,0,0,0,0,0,0,1.022882639,0,0,0,-0.231134311,T
53,106-42-3,0.347182537,0,0,0,0.8925,0,0,0,0,0,0,1.0625,0,0,0,-0.412662758,T
54,107-13-1,0.497479125,0,0,0,0.901785714,0,0,0,1.180555556,0,0,1.130181543,0,0,0,0.345964961,T
55,107-21-1,0.494753159,0,0,0,1.25869153,0,0,0,0,0,0,1.877565648,0,0,0,-3.278742406,T
56,108-88-3,0.373854797,0,0,0,1.015625,0,0,0,0,0,0,1,0,0,0,-0.089781702,T
57,108-95-2,0.370887941,0,0,0,0.953850143,0,0,0,0,0,0,0.85748717,0,0,0,-0.073639094,T
58,110-54-3,0.401966174,0,0,0,1.382275132,0,0,0,5.536388889,0,0,1.666666667,0,0,0,0.100985786,T
59,111-87-5,0.326645911,0,0,0,1.352038556,0,0,0,7.495702239,1,0,1.598755806,0,0,1,0.146228092,T
60,114-07-8,0.137657877,0,0,0,0.879692654,3,0,0,-9.707663812,1,0,1.642838242,0,5,1,1.425830676,T
61,115-29-7,0.225641422,0,0,0,0.604226497,0,1,0,0,0,0,1.349995075,0,0,0,1.897680461,T
63,118-96-7,0.24106133,0,0,0,0.421909914,0,0,0,0,0,0,0.951465909,0,0,0,1.397233109,T
64,120-12-7,0.264462691,0,0,0,0.93877551,0,0,0,0,0,0,0.758241758,0,0,1,3.363702676,T
66,122-14-5,0.235660018,0,0,0,0.601954898,0,0,0,0,0,0,1.294322497,0,0,1,1.616781087,T
67,123-31-9,0.343392465,0,0,0,0.787955729,0,0,0,0,0,0,0.813640267,0,0,0,2.661615521,T
68,126-73-8,0.237368338,0,0,0,0.887987169,0,0,0,5.63150463,0,0,1.908406388,0,0,1,1.70618002,T
69,127-08-2,0.573274767,0,0,0,0.883663366,3,0,0,0.75,0,0,1.749950942,0,0,0,-2.365822039,T
70,130-61-0,0.196927709,0,0,0,1.011331769,0,0,0,7.480765379,0,0,1.19887496,1,1,1,3.096876082,T
71,131-52-2,0.296688763,25.11316657,0,0,0.913043478,0,0,0,0,0,0,0.901746693,0,0,0,2.380663396,T
72,137-26-8,0.28014596,0,0,4,0.420211749,0,0,0,0,0,0,1.325467759,0,0,1,4.206491568,T
73,141-83-3,0.371915612,0,1,0,0.50135318,0,0,0,0,0,0,2.240524216,0,0,0,-0.726996069,T
74,143-50-0,0.215714087,0,0,0,1.039061703,0,1,0,0,0,0,0.829884979,0,0,0,3.690727544,T
75,145-73-3,0.27172408,0,0,0,0.768329718,2,0,0,0.572962963,0,0,1.231799162,0,0,0,-0.161477394,T
77,152-11-4,0.170473759,0,0,0,0.961938794,0,0,0,2.611084525,1,0,1.48430663,0,2,1,1.653672937,T
78,154-21-2,0.189750946,0,1,0,1.131539401,0,0,0,-1.495922719,1,0,1.536236519,1,1,1,1.212164101,T
80,307-24-4,0.224950788,0,0,0,0.705445545,0,0,0,-7.297109788,0,0,1.390002221,0,0,0,0.336816972,T
81,333-41-5,0.224753266,0,1,0,0.604041576,4,0,0,0,0,0,1.624476792,0,0,1,1.017693094,T
82,335-67-1,0.196392751,0,0,0,0.801809211,0,0,0,-7.69383775,1,0,1.412915243,0,0,1,0.440982507,T
83,375-22-4,0.271598654,0,0,0,0.578389831,0,0,0,-6.602291667,0,0,1.351249845,0,0,0,0.289102257,T
84,422-64-0,0.309698406,0,0,0,0.498489426,0,0,0,-6.015046296,0,0,1.320331601,0,0,0,0.311833298,T
86,519-02-8,0.233200127,0,1,0,1.081239445,2,0,0,8.637852419,0,0,1.59189924,0,0,1,4.129717087,T
87,525-66-6,0.226168215,0,0,0,1.018324737,0,0,0,-0.498732993,1,0,1.231825633,0,1,1,1.999986268,T
89,591-35-5,0.325704703,10.04526663,0,0,0.610934968,0,1,0,0,0,0,0.819078942,0,0,0,1.506323892,T
90,598-50-5,0.440260756,0,1,0,0.740384615,0,0,0,0,0,0,2.368123088,0,0,0,-1.416306148,T
91,615-35-0,0.170413436,0,1,0,0.706554259,0,0,0,1.594607616,1,0,1.355095031,0,4,1,-0.205304962,T
92,657-24-9,0.327491305,0,0,0,0.720689655,0,0,0,0,0,0,2.443514763,0,0,0,-0.846689883,T
93,688-73-3,0.268412354,13.31022759,0,0,2.261224109,0,0,0,8.874539399,0,0,1.5310489,0,0,1,4.486243998,T
94,723-46-6,0.237844835,0,1,0,0.796399958,3,0,0,0,1,1,1.215552454,0,1,1,0.984140825,T
95,898-84-0,0.210067723,0,0,0,0.8258136,2,0,0,9.138846739,1,0,1.070602726,0,0,1,1.514384417,T
97,950-37-8,0.242227354,0,1,3,0.789362405,0,0,0,0,1,0,1.298195869,0,0,1,1.20326841,T
98,1071-83-6,0.311709344,0,0,0,1.280513635,0,0,0,-0.597916667,0,0,1.907007462,0,0,0,0.780908521,T
99,1163-19-5,0.207411505,0,0,0,1.063402592,0,0,0,0,0,0,1.099049463,0,0,1,1.251684284,T
100,1330-20-7,0.34798315,0,0,0,0.8925,0,0,0,0,0,0,1.0625,0,0,0,-0.376644332,T
101,1461-22-9,0.257568359,13.31022759,0,0,2.145327308,0,0,0,8.11502551,0,0,1.494888086,0,0,1,3.655218496,T
102,1639-60-7,0.19582872,0,0,0,0.945413719,2,0,0,1.038350734,1,0,1.350416999,0,0,1,1.795835308,T
103,1912-24-9,0.263412522,5.28358632,0,0,0.518848444,0,0,0,0,0,0,2.095006312,0,0,0,1.439493812,T
105,2636-26-2,0.252685934,0,0,0,0.668472064,0,0,0,0,0,0,1.263024796,0,2,1,1.445438253,T
106,2706-90-3,0.244953011,0,0,0,0.64659271,0,0,0,-7.004583333,0,0,1.373448617,0,0,0,0.30774282,T
107,2795-39-3,0.182411948,0,0,0,1.133592931,0,0,0,-7.882749144,1,0,1.408005969,0,0,1,0.908094431,T
109,3380-34-5,0.240254833,15.06789994,0,0,0.596022499,0,1,0,0,0,0,0.907286286,0,0,1,2.923829473,T
110,3778-73-2,0.261526456,0,1,0,0.980736112,0,0,0,0.892295525,0,0,2.186309656,0,0,0,-0.581616526,T
111,4685-14-7,0.260517113,0,0,0,0.999426606,0,0,0,8.231481481,0,0,1.529620464,0,0,1,1.26329677,T
112,4921-49-7,0.253082466,5.28358632,1,0,0.434609916,0,0,0,0,0,0,2.218592503,0,0,0,0.183041957,T
114,5436-43-1,0.241023915,0,0,0,0.658271556,0,0,0,0,0,0,0.843061244,0,0,1,1.720860055,T
115,10453-86-8,0.198125648,0,0,0,0.863812967,3,0,0,4.603175932,1,1,1.170021211,0,0,1,3.927370363,T
117,15307-86-5,0.225970103,10.04526663,0,0,0.604426487,2,0,0,-0.064241071,1,0,0.988390409,0,0,1,0.939066274,T
118,17757-70-9,0.239813015,0,1,0,1.042971079,0,0,0,0,1,0,1.178689192,0,0,1,1.787408632,T
119,17924-92-4,0.206205376,0,0,0,0.830954917,4,0,0,6.895816552,1,0,1.152237862,0,0,1,1.502973059,T
120,20830-75-5,0.132857211,0,0,0,0.933705081,0,0,0,-1.511880896,1,0,1.378478389,0,0,1,-1.107238221,T
121,22204-53-1,0.234044445,0,0,0,0.785510408,1,0,0,0,1,0,1.038963092,0,0,1,0.58406725,T
122,22224-92-6,0.225304252,0,1,0,0.99084499,0,0,0,2.022094159,1,0,1.480298837,1,0,1,2.352240212,T
123,23564-05-8,0.207580404,0,1,4,0.605079681,0,0,0,-1.37811286,1,0,1.361339775,0,0,1,1.833830039,T
125,25812-30-0,0.233396137,0,0,0,0.793992349,0,0,0,1.360990646,1,0,1.300861586,0,0,1,0.510333405,T
127,28249-77-6,0.245233096,5.022633314,1,1,0.845454545,0,0,0,0,0,0,1.325925582,0,0,1,1.598335863,T
128,40487-42-1,0.217543351,0,0,0,0.62447032,0,0,0,1.46772345,0,0,1.30568606,0,0,1,0.641299332,T
129,40596-69-8,0.208306502,0,0,0,0.962243212,0,0,0,10.07657851,1,0,1.554558109,0,0,1,1.351410221,T
131,42615-29-2,0.209346701,0,0,0,0.783739586,0,0,0,11.5963905,1,0,1.363921673,1,0,1,1.565607722,T
132,49562-28-9,0.196271953,5.022633314,0,0,0.608830131,0,0,0,-0.213196015,1,0,1.184266153,0,0,1,0.744553662,T
134,50512-35-1,0.229827862,0,0,0,0.943693498,0,0,0,-0.50675359,0,0,1.224330985,0,0,1,0.989517329,T
135,51481-10-8,0.213947693,0,0,0,0.804598306,0,0,0,-1.137393707,0,0,1.196411305,0,0,1,2.108134329,T
136,52315-07-8,0.186624706,0,0,0,0.523062935,1,0,0,0.615190678,1,0,1.069306682,0,2,1,2.090892069,T
137,52918-63-5,0.186672687,0,0,0,0.345094519,1,0,0,0.960194536,1,0,1.025624379,0,2,1,2.900830706,T
139,58812-37-6,0.152271907,0,0,0,0.757035675,7,0,0,-2.268622467,1,1,1.259413951,0,0,1,6.065569486,T
140,66357-07-1,0.230051047,0,1,0,1.269833115,0,0,0,0,1,1,1.672111661,0,2,1,2.111358543,T
141,66357-35-5,0.213234178,0,0,0,1.22276571,0,0,0,0.921350202,1,1,1.602916197,0,3,1,0.497496351,T
142,71751-41-2,0.124637436,0,0,0,0.949142475,1,0,0,8.546950027,1,0,1.436248574,0,0,1,2.861996005,T
144,73851-70-4,0.208031551,0,0,0,1.183118474,0,0,0,0.836284694,1,1,1.671454311,0,3,1,1.864876641,T
147,81103-11-9,0.136317235,0,0,0,0.895246882,3,0,0,-8.729879224,1,0,1.676290015,0,5,1,1.324162867,T
148,82419-36-1,0.191158227,0,0,0,0.755912645,0,0,0,1.342611961,1,0,1.381442855,0,2,1,1.082607555,T
149,100643-71-8,0.209580922,5.022633314,0,0,0.730327247,0,0,0,6.191837111,0,0,1.089264741,0,0,1,2.409248259,T
150,101043-37-2,0.117434009,0,1,0,0.836383914,4,0,0,4.640501266,1,0,1.532786292,0,33,1,4.247911391,T
152,117704-25-3,0.122643526,0,0,0,0.971466495,1,0,0,13.81261687,1,0,1.409769765,0,0,1,2.64631196,T
153,120068-37-3,0.190404987,10.04526663,0,0,0.645703125,0,0,0,-4.789457361,1,0,0.87440786,0,1,1,2.640580806,T
154,138261-41-3,0.237352443,5.153109817,1,0,0.635749535,0,0,0,1.643287037,1,0,1.504574293,0,0,1,0.312353923,T
155,170727-59-0,0.187102274,5.022633314,1,0,0.730648227,1,0,0,6.56730628,1,0,1.275319344,0,1,1,0.945395547,T
156,174501-65-6,0.31067579,0,0,0,1.142578125,0,0,0,8.817018141,0,0,2.056418283,0,0,1,0.671119047,T
157,189084-61-5,0.241061737,0,0,0,0.658271556,0,0,0,0,0,0,0.843061244,0,0,1,1.720860055,T
158,244193-52-0,0.263098902,0,0,0,1.239708118,0,0,0,14.63746271,0,0,1.893759171,0,1,1,2.581217549,T
